users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
APP-FEaXrRlD7r9K7tDPZ6CeaqlcoNuTcde9c1e8c975e3622302e84b00041434,session_start,screen_view,screen_view,app_open,login,user_engagement,screen_view,hamburger_menu_clicked,menu_item_clicked,video_play,user_engagement,user_engagement,session_start,screen_view,screen_view,app_open,login,user_engagement,screen_view,hamburger_menu_clicked,menu_item_clicked,video_play,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-FUsVjoEmDlOTMMIHmnhqgw3mx4BT267bbd2781ba79f6902dfeb476118ea9,login,user_engagement,screen_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-FVe7MtTcFnHeAIkGMijvccOQAysG3825477968701a1fee0ff67a418004a9,session_start,screen_view,app_update,os_update,app_open,login,screen_view,install,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-GQyS97Oow6Ad08zBlSsj3dopvtwX1c34c4e04e6661e13af264dd0bb6d410,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_manual_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-GV28S9SwhFMlphVSB5Qi8nLLNew9129af209ea686a634d2af8436bddff2c,app_remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-HoDWrqe4H8flsGwSxsn8RV4rOcHMa933d17afd0ec60ad87829c10676aff3,session_start,screen_view,app_open,login,user_engagement,screen_view,user_engagement,screen_view,app_open,login,user_engagement,screen_view,hamburger_menu_clicked,user_engagement,app_remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-HuKGnWstY59k6UKMMyI9nIQ77CLk4d2573694f7126f7553fe82bee25c439,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,video_completed,video_play,video_closed,button_test_ios,button_clicked,button_test_ios,button_clicked,first_visit,session_start,page_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-IkrhvWH95Ul9zmt70rVzpxs2VmvA3d0e4a895692891f75f08d4c0d541344,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-JR3W78eYpe9OVPLyLhTH87RK06Ale7856ef46c5f5258bd5a7f2edb67e93a,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_closed,video_play,video_manual_completed,video_completed,user_engagement,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,user_engagement,video_perc_completed,video_completed,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,scroll,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-JZEuaRXvjdd7SoDJKdRuHcxD2XgS51d0f280446b02903050e8c4e6f4cd32,session_start,screen_view,app_open,login,user_engagement,screen_view,video_play,video_perc_completed,video_perc_completed,user_engagement,user_engagement,user_engagement,user_engagement,user_engagement,video_perc_completed,video_manual_completed,video_completed,user_engagement,user_engagement,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_closed,user_engagement,user_engagement,user_engagement,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_closed,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,button_test_ios,button_clicked,user_engagement,session_start,screen_view,app_open,login,user_engagement,screen_view,button_test_ios,button_clicked,button_test_ios,button_clicked,user_engagement,session_start,user_engagement,session_start,screen_view,app_open,login,user_engagement,screen_view,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,user_engagement,user_engagement,hamburger_menu_clicked,menu_item_clicked,video_play,video_manual_completed,video_completed,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,user_engagement,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,button_test_ios,button_clicked,hamburger_menu_clicked,user_engagement
